Site,Elevation (m),Elevation (ft),Habitat,Morph,PlantNo.,No.Fruits,Fruits counted,Flowers,totSeeds,looseSeeds,avgS/F,"Notes (from Jake,NMS)",S/F.1,S/F.2,S/F.3,S/F.4,S/F.5,S/F.6,S/F.7,S/F.8,S/F.9,S/F.10,S/F.11,S/F.12,S/F.13,S/F.14,S/F.15,S/F.16,
Penn Mountain,3780,"12,401",Alpine2,Sweet,B6,10,10,18,73,,7.30,FLAT 2,10,7,8,6,5,10,4,10,6,7,,,,,,,
Penn Mountain,3780,"12,401",Alpine2,Sweet,B70,10,10,13,41,,4.10,FLAT 2,4,5,4,5,6,2,4,5,3,3,,,,,,,
Penn Mountain,3780,"12,401",Alpine2,Sweet,CC52,3,3,19,18,,6.00,FLAT 2,12,1,5,,,,,,,,,,,,,,
Penn Mountain,3780,"12,401",Alpine2,Sweet,CC79,0,1,9,0,,0.00,FLAT 2,0,,,,,,,,,,,,,,,,
Penn Mountain,3780,"12,401",Alpine2,Sweet,S12,1,1,13,3,,3.00,FLAT 2,3,,,,,,,,,,,,,,,,
Penn Mountain,3780,"12,401",Alpine2,Sweet,S19,1,1,16,3,,3.00,FLAT 2,3,,,,,,,,,,,,,,,,
Penn Mountain,3780,"12,401",Alpine2,Sweet,S22,0,1,12,0,,0.00,FLAT 2,0,,,,,,,,,,,,,,,,
Penn Mountain,3780,"12,401",Alpine2,Sweet,S25,10,10,19,38,,3.80,FLAT 2,7,3,1,10,3,2,6,1,2,3,,,,,,,
Penn Mountain,3780,"12,401",Alpine2,Sweet,S42,2,2,13,6,,3.00,FLAT 2,1,5,,,,,,,,,,,,,,,
Penn Mountain,3780,"12,401",Alpine2,Sweet,S47,16,16,17,111,,6.94,FLAT 2,10,6,6,6,10,8,6,10,7,9,6,9,5,5,5,3,
Penn Mountain,3780,"12,401",Alpine2,Skunky,S69,0,1,15,0,,0.00,FLAT 2,0,,,,,,,,,,,,,,,,
Penn Mountain,3780,"12,401",Alpine2,Sweet,S72,0,1,17,0,,0.00,FLAT 2,0,,,,,,,,,,,,,,,,
Penn Mountain,3780,"12,401",Alpine2,Sweet,S73,5,5,13,25,,5.00,FLAT 2,3,6,5,4,7,,,,,,,,,,,,
Penn Mountain,3780,"12,401",Alpine2,Sweet,S75,3,3,16,12,,4.00,FLAT 2,4,2,6,,,,,,,,,,,,,,
Penn Mountain,3780,"12,401",Alpine2,Skunky,S81,10,10,16,42,,4.20,FLAT 2,3,7,4,5,3,4,3,5,5,3,,,,,,,
Penn Mountain,3780,"12,401",Alpine2,Skunky,S85,0,1,17,0,,0.00,FLAT 2,0,,,,,,,,,,,,,,,,
Penn Mountain,3780,"12,401",Alpine2,Sweet,S88,2,2,19,4,,2.00,FLAT 2,3,1,,,,,,,,,,,,,,,
Penn Mountain,3780,"12,401",Alpine2,Skunky,S20,3,3,15,8,,2.67,FLAT 2,5,2,1,,,,,,,,,,,,,,
Penn Mountain,3880,"12,729",Alpine2,Sweet,CC1,0,1,11,0,,0.00,False summit,0,,,,,,,,,,,,,,,,
Penn Mountain,3880,"12,729",Alpine2,Sweet,CC100,3,3,8,16,,5.33,False summit,6,9,1,,,,,,,,,,,,,,
Penn Mountain,3880,"12,729",Alpine2,Sweet,CC11,4,4,13,5,,1.25,False summit,2,1,1,1,,,,,,,,,,,,,
Penn Mountain,3880,"12,729",Alpine2,Skunky,CC12,11,11,15,37,,3.36,False summit,5,2,5,6,3,4,1,3,3,2,3,,,,,,
Penn Mountain,3880,"12,729",Alpine2,Skunky,CC18,3,3,12,13,,4.33,False summit,4,6,3,,,,,,,,,,,,,,
Penn Mountain,3880,"12,729",Alpine2,Sweet,CC27,2,2,16,6,,3.00,False summit,3,3,,,,,,,,,,,,,,,
Penn Mountain,3880,"12,729",Alpine2,Sweet,CC29,1,1,9,3,,3.00,False summit,3,,,,,,,,,,,,,,,,
Penn Mountain,3880,"12,729",Alpine2,Sweet,CC31,0,1,9,0,,0.00,False summit,0,,,,,,,,,,,,,,,,
Penn Mountain,3880,"12,729",Alpine2,Sweet,CC39,1,1,6,1,,1.00,False summit,1,,,,,,,,,,,,,,,,
Penn Mountain,3880,"12,729",Alpine2,Sweet,CC46,5,5,14,16,,3.20,False summit,2,3,3,1,7,,,,,,,,,,,,
Penn Mountain,3880,"12,729",Alpine2,Skunky,CC47,9,9,13,45,,5.00,False summit,7,4,8,7,7,4,2,2,4,,,,,,,,
Penn Mountain,3880,"12,729",Alpine2,Sweet,CC55,0,1,14,0,,0.00,False summit,0,,,,,,,,,,,,,,,,
Penn Mountain,3880,"12,729",Alpine2,Sweet,CC6,7,7,17,34,,4.86,False summit,7,7,5,3,3,7,2,,,,,,,,,,
Penn Mountain,3880,"12,729",Alpine2,Sweet,CC62,7,7,12,24,,3.43,False summit,4,5,3,3,4,3,2,,,,,,,,,,
Penn Mountain,3880,"12,729",Alpine2,Skunky,CC68,3,3,4,12,,4.00,False summit,2,3,7,,,,,,,,,,,,,,
Penn Mountain,3880,"12,729",Alpine2,Sweet,CC74,10,10,17,85,,8.50,False summit,7,13,11,12,7,8,8,7,6,6,,,,,,,
Penn Mountain,3880,"12,729",Alpine2,Skunky,CC85,0,1,11,0,,0.00,False summit,0,,,,,,,,,,,,,,,,
Penn Mountain,3880,"12,729",Alpine2,Skunky,CC9,1,1,15,4,,4.00,False summit,4,,,,,,,,,,,,,,,,
Penn Mountain,3880,"12,729",Alpine2,Sweet,S16,4,4,12,17,,4.25,False summit,3,4,3,7,,,,,,,,,,,,,
Penn Mountain,3880,"12,729",Alpine2,Sweet,B10,2,2,15,6,,3.00,False summit,5,1,,,,,,,,,,,,,,,
Rocky Mtn NP,3670,"12,040",Alpine2,Skunky,RMP1,2,2,10,3,,1.50,Tundra Curves,1,2,,,,,,,,,,,,,,,
Rocky Mtn NP,3670,"12,040",Alpine2,Skunky,RMP10,0,1,9,0,,0.00,Tundra Curves,0,,,,,,,,,,,,,,,,
Rocky Mtn NP,3670,"12,040",Alpine2,Sweet,RMP15,3,3,16,31,,10.33,Tundra Curves,7,12,12,,,,,,,,,,,,,,
Rocky Mtn NP,3670,"12,040",Alpine2,Sweet,RMP16,1,1,13,1,,1.00,Tundra Curves,1,,,,,,,,,,,,,,,,
Rocky Mtn NP,3670,"12,040",Alpine2,Sweet,RMP19,1,1,11,2,,2.00,Tundra Curves,2,,,,,,,,,,,,,,,,
Rocky Mtn NP,3670,"12,040",Alpine2,Skunky,RMP22,0,1,10,0,,0.00,Tundra Curves,0,,,,,,,,,,,,,,,,
Rocky Mtn NP,3670,"12,040",Alpine2,Sweet,RMP26,4,4,17,4,,1.00,Tundra Curves,1,1,1,1,,,,,,,,,,,,,
Rocky Mtn NP,3670,"12,040",Alpine2,Sweet,RMP27,0,1,13,0,,0.00,Tundra Curves,0,,,,,,,,,,,,,,,,
Rocky Mtn NP,3670,"12,040",Alpine2,Sweet,RMP28,0,1,7,0,,0.00,Tundra Curves,0,,,,,,,,,,,,,,,,
Rocky Mtn NP,3670,"12,040",Alpine2,Skunky,RMP4,0,1,14,0,,0.00,Tundra Curves,0,,,,,,,,,,,,,,,,
Rocky Mtn NP,3670,"12,040",Alpine2,Sweet,RMP5,2,2,11,3,,1.50,Tundra Curves,1,2,,,,,,,,,,,,,,,
Rocky Mtn NP,3670,"12,040",Alpine2,Skunky,RMP8,0,1,16,0,,0.00,Tundra Curves,0,,,,,,,,,,,,,,,,
Rocky Mtn NP,3670,"12,040",Alpine2,Skunky,RMP9,6,6,10,39,,6.50,Tundra Curves,6,8,11,6,4,4,,,,,,,,,,,
SF PKS,3640,11950,Alpine2,Skunky,B27,0,1,10,0,,0.00,,0,,,,,,,,,,,,,,,,
SF PKS,3640,11950,Alpine2,Skunky,B48,0,1,15,0,,0.00,,0,,,,,,,,,,,,,,,,
SF PKS,3640,11950,Alpine2,Skunky,CC24,3,3,8,12,,4.00,,6,2,4,,,,,,,,,,,,,,
SF PKS,3640,11950,Alpine2,Sweet,CC35,1,1,7,3,,3.00,,3,,,,,,,,,,,,,,,,
SF PKS,3640,11950,Alpine2,Skunky,CC38,0,1,15,0,,0.00,,0,,,,,,,,,,,,,,,,
SF PKS,3640,11950,Alpine2,Skunky,CC51,0,1,9,0,,0.00,,0,,,,,,,,,,,,,,,,
SF PKS,3640,11950,Alpine2,Skunky,CC53,6,6,12,20,,3.33,,2,6,2,4,3,3,,,,,,,,,,,
SF PKS,3640,11950,Alpine2,Skunky,CC59,0,1,12,0,,0.00,,0,,,,,,,,,,,,,,,,
SF PKS,3640,11950,Alpine2,Skunky,CC63,5,5,13,38,,7.60,,5,6,10,10,7,,,,,,,,,,,,
SF PKS,3640,11950,Alpine2,Skunky,CC7,4,4,11,32,,8.00,,5,9,7,11,,,,,,,,,,,,,
SF PKS,3640,11950,Alpine2,Skunky,CC84,2,2,9,14,,7.00,,3,11,,,,,,,,,,,,,,,
SF PKS,3640,11950,Alpine2,Skunky,CC98,7,7,12,53,,7.57,,9,7,7,2,9,9,10,,,,,,,,,,
Cumberland Pass,3720,12200,Alpine,Sweet,S13,12,12,18,32,,2.67,,1,4,1,2,7,3,4,5,1,1,1,2,,,,,
Cumberland Pass,3720,12200,Alpine,Skunky,S21,8,8,18,32,,4.00,,1,1,6,8,3,6,3,4,,,,,,,,,
Cumberland Pass,3720,12200,Alpine,Skunky,S27,4,4,13,25,,6.25,,7,7,4,7,,,,,,,,,,,,,
Cumberland Pass,3720,12200,Alpine,Skunky,S33,0,1,3,0,,0.00,,0,,,,,,,,,,,,,,,,
Cumberland Pass,3720,12200,Alpine,Skunky,S37,5,5,11,29,,5.80,,4,3,10,9,3,,,,,,,,,,,,
Cumberland Pass,3720,12200,Alpine,Sweet,S5,4,4,14,13,,3.25,,4,2,2,5,,,,,,,,,,,,,
Cumberland Pass,3720,12200,Alpine,Sweet,S52,5,5,12,10,,2.00,,4,2,1,2,1,,,,,,,,,,,,
Cumberland Pass,3720,12200,Alpine,Sweet,S55,4,4,17,8,,2.00,,2,2,2,2,,,,,,,,,,,,,
Cumberland Pass,3720,12200,Alpine,Sweet,S58,9,9,15,34,,3.78,,4,1,2,3,11,5,3,3,2,,,,,,,,
Cumberland Pass,3720,12200,Alpine,Sweet,S6,7,7,17,26,,3.71,,6,6,5,1,5,1,2,,,,,,,,,,
Cumberland Pass,3720,12200,Alpine,Skunky,S60,10,10,17,55,,5.50,,3,5,5,1,4,9,7,6,12,3,,,,,,,
Cumberland Pass,3720,12200,Alpine,Sweet,S61,12,12,15,101,,8.42,,10,11,4,12,9,5,9,7,9,4,9,12,,,,,
Cumberland Pass,3720,12200,Alpine,Skunky,S62,6,6,17,21,,3.50,,5,9,1,1,2,3,,,,,,,,,,,
Cumberland Pass,3720,12200,Alpine,Skunky,S7,1,1,11,12,,12.00,,12,,,,,,,,,,,,,,,,
Cumberland Pass,3720,12200,Alpine,Sweet,S71,6,6,14,31,,5.17,,9,8,2,4,1,7,,,,,,,,,,,
Cumberland Pass,3720,12200,Alpine,Sweet,S74,9,9,21,74,,8.22,,10,13,11,11,2,8,12,6,1,,,,,,,,
Cumberland Pass,3720,12200,Alpine,Sweet,S78,1,1,15,3,,3.00,,3,,,,,,,,,,,,,,,,
Cumberland Pass,3720,12200,Alpine,Skunky,S79,13,13,29,67,,5.15,,2,5,10,8,13,1,1,3,2,3,11,2,6,,,,
Cumberland Pass,3720,12200,Alpine,Sweet,S8,6,6,11,23,,3.83,,9,6,2,3,2,1,,,,,,,,,,,
Cumberland Pass,3720,12200,Alpine,Sweet,S9,7,7,13,57,,8.14,,9,6,11,6,8,7,10,,,,,,,,,,
Cumberland Pass,3720,12200,Alpine,Skunky,S98,0,1,7,0,,0.00,,0,,,,,,,,,,,,,,,,
Niwot Ridge,3749,12300,Alpine,Sweet,NR34,1,1,18,6,,6.00,,6,,,,,,,,,,,,,,,,
Niwot Ridge,3749,12300,Alpine,Sweet,NR37,5,5,16,13,,2.60,,4,2,2,3,2,,,,,,,,,,,,
Niwot Ridge,3749,12300,Alpine,Skunky,NR39,2,2,13,13,,6.50,,5,8,,,,,,,,,,,,,,,
Niwot Ridge,3749,12300,Alpine,Skunky,NR40,0,1,17,0,,0.00,,0,,,,,,,,,,,,,,,,
Niwot Ridge,3749,12300,Alpine,Skunky,NR55,0,1,17,0,,0.00,,0,,,,,,,,,,,,,,,,
Niwot Ridge,3749,12300,Alpine,Sweet,NR57,7,7,14,60,,8.57,,8,8,9,10,5,10,10,,,,,,,,,,
Niwot Ridge,3749,12300,Alpine,Skunky,NR58,0,1,14,0,,0.00,,0,,,,,,,,,,,,,,,,
Niwot Ridge,3749,12300,Alpine,Sweet,NR59,8,8,10,19,,2.38,,2,2,2,3,2,1,3,4,,,,,,,,,
Niwot Ridge,3749,12300,Alpine,Sweet,NR60,4,4,13,12,,3.00,,2,4,3,3,,,,,,,,,,,,,
Niwot Ridge,3749,12300,Alpine,Sweet,NR61,0,1,23,0,,0.00,,0,,,,,,,,,,,,,,,,
Niwot Ridge,3749,12300,Alpine,Skunky,NR62,0,1,11,0,,0.00,,0,,,,,,,,,,,,,,,,
Niwot Ridge,3749,12300,Alpine,Sweet,NR63,0,1,7,0,,0.00,,0,,,,,,,,,,,,,,,,
Niwot Ridge,3749,12300,Alpine,Sweet,NR64,2,2,15,7,,3.50,,5,2,,,,,,,,,,,,,,,
Penn Mountain,3960,"12,992",Alpine,Sweet,Q11,2,2,15,10,,5.00,Summit,4,6,,,,,,,,,,,,,,,
Penn Mountain,3960,"12,992",Alpine,Sweet,Q14,1,1,12,7,,7.00,Summit,7,,,,,,,,,,,,,,,,
Penn Mountain,3960,"12,992",Alpine,Skunky,Q15,0,1,15,0,,0.00,Summit,0,,,,,,,,,,,,,,,,
Penn Mountain,3960,"12,992",Alpine,Sweet,Q16,0,1,14,0,,0.00,Summit,0,,,,,,,,,,,,,,,,
Penn Mountain,3960,"12,992",Alpine,Sweet,Q17,4,4,9,9,,2.25,Summit,3,2,2,2,,,,,,,,,,,,,
Penn Mountain,3960,"12,992",Alpine,Sweet,Q18,0,1,11,0,,0.00,Summit,0,,,,,,,,,,,,,,,,
Penn Mountain,3960,"12,992",Alpine,Sweet,Q19,9,9,13,61,,6.78,Summit,8,8,5,7,6,5,6,8,8,,,,,,,,
Penn Mountain,3960,"12,992",Alpine,Sweet,Q20,5,5,13,10,,2.00,Summit,2,2,3,2,1,,,,,,,,,,,,
Penn Mountain,3960,"12,992",Alpine,Sweet,Q21,3,3,22,17,,5.67,Summit,7,6,4,,,,,,,,,,,,,,
Penn Mountain,3960,"12,992",Alpine,Sweet,Q23,8,8,13,19,,2.38,Summit,4,1,2,3,3,2,1,3,,,,,,,,,
Penn Mountain,3960,"12,992",Alpine,Sweet,Q24,0,1,14,0,,0.00,Summit,0,,,,,,,,,,,,,,,,
Penn Mountain,3960,"12,992",Alpine,Sweet,Q25,0,1,14,0,,0.00,Summit,0,,,,,,,,,,,,,,,,
Penn Mountain,3960,"12,992",Alpine,Sweet,Q27,3,3,17,23,,7.67,Summit,7,8,8,,,,,,,,,,,,,,
Penn Mountain,3960,"12,992",Alpine,Sweet,Q28,0,1,13,0,,0.00,Summit,0,,,,,,,,,,,,,,,,
Penn Mountain,3960,"12,992",Alpine,Sweet,Q29,7,7,18,48,,6.86,Summit,10,6,9,2,7,5,9,,,,,,,,,,
Penn Mountain,3960,"12,992",Alpine,Sweet,Q30,2,2,12,8,,4.00,Summit,2,6,,,,,,,,,,,,,,,
Penn Mountain,3960,"12,992",Alpine,Skunky,Q31,3,3,10,15,,5.00,Summit,9,3,3,,,,,,,,,,,,,,
Penn Mountain,3960,"12,992",Alpine,Sweet,Q26,9,9,20,63,,7.00,Summit,6,6,7,10,4,5,10,8,7,,,,,,,,
Penn Mountain,3960,"12,992",Alpine,Sweet,Q2613,8,8,22,54,,6.75,Summit,10,5,6,10,4,9,5,5,,,,,,,,,
Rocky Mtn NP,3825,"12,550",Alpine,Sweet,RMP11,3,3,9,4,,1.33,Sundance,1,1,2,,,,,,,,,,,,,,
Rocky Mtn NP,3825,"12,550",Alpine,Sweet,RMP12,7,7,14,12,4.00,1.71,Sundance,1,2,1,2,3,1,2,,,,,,,,,,
Rocky Mtn NP,3825,"12,550",Alpine,Sweet,RMP23,0,1,20,0,,0.00,Sundance,0,,,,,,,,,,,,,,,,
Rocky Mtn NP,3825,"12,550",Alpine,Sweet,RMP25,10,10,14,13,,1.30,Sundance,1,1,2,1,1,2,1,1,1,2,,,,,,,
Rocky Mtn NP,3825,"12,550",Alpine,Sweet,RMP6,0,1,21,0,,0.00,Sundance,0,,,,,,,,,,,,,,,,
Rocky Mtn NP,3825,"12,550",Alpine,Sweet,RMP7,3,3,15,3,,1.00,Sundance,1,1,1,,,,,,,,,,,,,,
Rocky Mtn NP,3825,"12,550",Alpine,Sweet,RMP75,1,1,9,1,,1.00,Sundance,1,,,,,,,,,,,,,,,,
Rocky Mtn NP,3825,"12,550",Alpine,Sweet,RMP76,2,2,12,2,,1.00,Sundance,1,1,,,,,,,,,,,,,,,
Rocky Mtn NP,3825,"12,550",Alpine,Skunky,RMP78,13,13,13,74,1.00,5.69,Sundance,3,5,10,10,4,6,8,9,1,3,11,3,1,,,,
Rocky Mtn NP,3825,"12,550",Alpine,Skunky,RMP79,2,2,14,6,,3.00,Sundance,4,2,,,,,,,,,,,,,,,
Rocky Mtn NP,3825,"12,550",Alpine,Sweet,RMP80,0,1,4,0,,0.00,Sundance,0,,,,,,,,,,,,,,,,
Rocky Mtn NP,3825,"12,550",Alpine,Sweet,RMP81,0,1,15,0,,0.00,Sundance,0,,,,,,,,,,,,,,,,
Rocky Mtn NP,3825,"12,550",Alpine,Sweet,RMP82,1,1,8,1,,1.00,Sundance,1,,,,,,,,,,,,,,,,
SF PKS,3750,12310,Alpine,Skunky,B37,1,1,11,4,,4.00,,4,,,,,,,,,,,,,,,,
SF PKS,3750,12310,Alpine,Skunky,B58,,2,12,4,,2.00,No fruit number documented,3,1,,,,,,,,,,,,,,,
SF PKS,3750,12310,Alpine,Sweet,CC2,12,12,13,84,,7.00,,1,7,13,7,5,3,10,8,8,10,2,10,,,,,
SF PKS,3750,12310,Alpine,Skunky,CC28,0,1,11,0,,0.00,,0,,,,,,,,,,,,,,,,
SF PKS,3750,12310,Alpine,Skunky,CC41,0,1,7,0,,0.00,,0,,,,,,,,,,,,,,,,
SF PKS,3750,12310,Alpine,Skunky,CC48,2,2,11,11,,5.50,,4,7,,,,,,,,,,,,,,,
SF PKS,3750,12310,Alpine,Skunky,CC69,5,5,11,40,,8.00,,10,6,5,12,7,,,,,,,,,,,,
SF PKS,3750,12310,Alpine,Skunky,CC71,1,1,8,8,,8.00,,8,,,,,,,,,,,,,,,,
SF PKS,3750,12310,Alpine,Skunky,CC76,11,3,3,20,,6.67,,1,11,8,,,,,,,,,,,,,,
SF PKS,3750,12310,Alpine,Skunky,CC81,8,8,13,75,,9.38,,3,12,9,15,12,10,9,5,,,,,,,,,
SF PKS,3750,12310,Alpine,Skunky,CC92,0,1,10,0,,0.00,,0,,,,,,,,,,,,,,,,
SF PKS,3750,12310,Alpine,Sweet,CC93,6,6,13,53,,8.83,,16,3,13,11,7,3,,,,,,,,,,,
SF PKS,3750,12310,Alpine,Sweet,CC94,0,1,11,0,,0.00,,0,,,,,,,,,,,,,,,,
Cumberland Pass,3560,11700,Krummholz,Skunky,S100,12,12,19,33,,2.75,,4,2,1,1,1,1,5,4,5,4,2,3,,,,,
Cumberland Pass,3560,11700,Krummholz,Skunky,S14,0,1,19,0,,0.00,,0,,,,,,,,,,,,,,,,
Cumberland Pass,3560,11700,Krummholz,Skunky,S15,0,1,7,0,,0.00,,0,,,,,,,,,,,,,,,,
Cumberland Pass,3560,11700,Krummholz,Skunky,S18,7,7,14,17,,2.43,,1,1,1,1,4,3,6,,,,,,,,,,
Cumberland Pass,3560,11700,Krummholz,Skunky,S24,10,10,14,54,,5.40,,4,6,7,3,7,5,5,5,9,3,,,,,,,
Cumberland Pass,3560,11700,Krummholz,Skunky,S26,11,11,14,64,,5.82,,7,5,5,6,6,3,10,7,4,6,5,,,,,,
Cumberland Pass,3560,11700,Krummholz,Skunky,S28,9,9,15,42,,4.67,,2,7,3,3,8,8,1,8,2,,,,,,,,
Cumberland Pass,3560,11700,Krummholz,Skunky,S31,14,14,18,45,,3.21,,4,4,7,2,3,4,1,3,4,7,2,2,1,1,,,
Cumberland Pass,3560,11700,Krummholz,Skunky,S32,7,7,14,27,,3.86,,6,3,2,2,6,3,5,,,,,,,,,,
Cumberland Pass,3560,11700,Krummholz,Sweet,S34,6,6,22,25,,4.17,,3,5,2,8,5,2,,,,,,,,,,,
Cumberland Pass,3560,11700,Krummholz,Skunky,S35,1,1,20,1,,1.00,,1,,,,,,,,,,,,,,,,
Cumberland Pass,3560,11700,Krummholz,Sweet,S40,6,6,15,19,,3.17,,5,2,3,2,4,3,,,,,,,,,,,
Cumberland Pass,3560,11700,Krummholz,Sweet,S51,9,9,25,18,,2.00,,6,1,3,1,1,1,3,1,1,,,,,,,,
Cumberland Pass,3560,11700,Krummholz,Sweet,S63,12,12,21,84,,7.00,,4,10,9,4,12,15,7,12,3,2,2,4,,,,,
Cumberland Pass,3560,11700,Krummholz,Skunky,S65,13,13,14,73,,5.62,,6,4,6,6,7,6,7,7,6,5,6,2,5,,,,
Cumberland Pass,3560,11700,Krummholz,Sweet,S76,4,4,16,13,,3.25,,2,7,2,2,,,,,,,,,,,,,
Cumberland Pass,3560,11700,Krummholz,Skunky,S89,3,3,19,6,,2.00,,4,1,1,,,,,,,,,,,,,,
Cumberland Pass,3560,11700,Krummholz,Sweet,S90,16,16,19,54,,3.38,,4,3,2,3,3,3,1,4,12,2,3,3,2,2,2,5,
Cumberland Pass,3560,11700,Krummholz,Sweet,S91,6,6,19,8,,1.33,,2,1,1,1,2,1,,,,,,,,,,,
Cumberland Pass,3560,11700,Krummholz,Skunky,S92,5,5,14,25,,5.00,,7,3,1,11,3,,,,,,,,,,,,
Cumberland Pass,3560,11700,Krummholz,Sweet,S95,7,7,10,33,,4.71,,7,5,5,4,6,3,3,,,,,,,,,,
Cumberland Pass,3560,11700,Krummholz,Sweet,S97,5,5,17,15,,3.00,,9,2,1,2,1,,,,,,,,,,,,
Penn Mountain,3550,"11,646",Krummholz,Sweet,B5,1,1,11,1,,1.00,TR FLAT,1,,,,,,,,,,,,,,,,
Penn Mountain,3550,"11,646",Krummholz,Sweet,B96,8,8,12,87,,10.88,TR FLAT,11,11,12,10,13,12,12,6,,,,,,,,,
Penn Mountain,3550,"11,646",Krummholz,Sweet,CC20,10,10,11,51,,5.10,TR FLAT,8,5,2,4,6,7,5,4,6,4,,,,,,,
Penn Mountain,3550,"11,646",Krummholz,Sweet,CC45,14,14,18,123,,8.79,TR FLAT,10,7,8,6,9,13,7,6,10,9,8,7,11,12,,,
